Item,Fat1,Carbs1,Protein1,Calories1
Almond butter,0.46875,0.15625,0.1875,5.625
Almond milk,0.010416667,0.010416667,0.004166667,0.125
Avocado mayo,0.392857143,0,0,3.214285714
Blueberries,0.003378378,0.117567568,0.006756757,0.567567568
Butter,0.857142857,0,0,7.142857143
Carrots,0,0.069354839,0.009677419,0.403225806
Celery,0,0.015,0.0075,0.14
Cheddar cheese,0.321428571,0.035714286,0.214285714,3.928571429
Cheesy Chicken with Spinach,0.104195215,0.0064854,0.133088991,1.481112589
Chicken Stracciatella,0.030408389,0.009056521,0.096960081,0.59683131
Coffee,0.00625,0.01125,0.03125,0.25
Coffeemate creamer,0.090909091,0,0,0.909090909
Cole slaw mix dry,0,0.035294118,0.011764706,0.294117647
Cream cheese,0.333333333,0.066666667,0.066666667,2.666666667
Eggplant,0.001219512,0.029268293,0.009756098,0.25
Gatorade zero,0,0,0,0.027777778
Green beans,0,0.008264463,0.008264463,0.123966942
Green Giant Broccoli & Cheese,0.014150943,0.066037736,0.028301887,0.471698113
Green Giant Mashed Cauliflour bacon+cheese,0.05,0.033333333,0.025,0.75
Ground chicken,0.080357143,0,0.196428571,1.428571429
Ground turkey 93%,0.070175439,0,0.210526316,0.49122807
Heavy cream,0.333333333,0,0,3
Iceberg lettuce,0.001,0.02,0.009,0.14
IQ bar almond butter,0.266666667,0.2,0.266666667,3.333333333
IQ bar peanut butter,0.266666667,0.2,0.266666667,3.555555556
Isopure Dutch Chocolate protein,0.015151515,0.03030303,0.757575758,3.333333333
Italian chicken sausage,0.129411765,0.011764706,0.164705882,1.882352941
Jack's Salsa medium,0,0.07,0,0.36
Kale,0,0.023529412,0.023529412,0.294117647
Kaukauna spreadable cheddar,0.25,0.125,0.166666667,3.333333333
Keto bark almonds,0.357142857,0.071428571,0.071428571,4.285714286
Ketobars chocolate peanut butter,0.44680851063829793,0.063829787,0.170212766,5.3191489
Ketobars chocolate-covered strawberry,0.3829787234,0.10638298,0.106383,4.681
Ketobars mint chocolate,0.404255,0.0638297872,0.127659574,4.68085
KIND bar caramel sea salt,0.375,0.225,0.15,4.25
Large egg,0.1,0,0.12,1.4
Light mayo,0.214285714,0.142857143,0,2.5
Lillie's Carolina BBQ sauce zero sugar,0,0.0625,0,0.46875
Low sodium bacon,0.411764706,0,-0.352941176,5.294117647
Low sodium soy sauce,0,0.066666667,0.066666667,0.666666667
Mozzarella cheese,0.214285714,0.035714286,0.25,2.857142857
Mushrooms,0.003,0.022,0.036,0.26
No sugar ketchup,0,0.0625,0,0.625
Onion,0,0.092857143,0,0.392857143
Parmesan cheese,0.2,0,0.4,4
Peanuts,0.5,0.178571429,0.25,6.071428571
Pickle,0,0,0,0
Pistachios,0.464285714,0.178571429,0.214285714,5.714285714
Pork rinds,0.178571429,0,0.642857143,5
Pork steak,0.158823529,0,0.247058824,2.470588235
Provel cheese,0.263157895,0,0.263157895,3.684210526
Raspberries,0.007142857,0.057142857,0.014285714,0.528571429
Sirloin steak,0.142857143,0,0.285714286,1.285714286
Slivered almonds,0.5,0.071428571,0.428571429,5.714285714
Sour cream,0.1666667,0.03333333,0.03333333,0.5
Spinach,0,0.011764706,0.023529412,0.235294118
Tomato,0.001428571,0.027142857,0.008571429,0.185714286
Turkey bacon,0.166666667,0,0.133333333,2
Turkey sausage,0.1,0.01,0.17,1.71
Victoria's marinara sauce,0.03539823,0.044247788,0.017699115,0.619469027
Wagu jerky,0.260869565,0.130434783,0.260869565,3.913043478
